date,holiday_name
2020-01-01,New Year's Day
2020-04-13,Easter Monday
2020-05-01,Labour Day
2020-05-21,Ascension Day
2020-06-01,Whit Monday
2020-07-21,Belgian National Day
2020-08-15,Assumption of Mary
2020-11-01,All Saints' Day
2020-11-11,Armistice Day
2020-12-25,Christmas Day
2021-01-01,New Year's Day
2021-04-05,Easter Monday
2021-05-01,Labour Day
2021-05-13,Ascension Day
2021-05-24,Whit Monday
2021-07-21,Belgian National Day
2021-08-15,Assumption of Mary
2021-11-01,All Saints' Day
2021-11-11,Armistice Day
2021-12-25,Christmas Day
2022-01-01,New Year's Day
2022-04-18,Easter Monday
2022-05-01,Labour Day
2022-05-26,Ascension Day
2022-06-06,Whit Monday
2022-07-21,Belgian National Day
2022-08-15,Assumption of Mary
2022-11-01,All Saints' Day
2022-11-11,Armistice Day
2022-12-25,Christmas Day
2023-01-01,New Year's Day
2023-04-10,Easter Monday
2023-05-01,Labour Day
2023-05-18,Ascension Day
2023-05-29,Whit Monday
2023-07-21,Belgian National Day
2023-08-15,Assumption of Mary
2023-11-01,All Saints' Day
2023-11-11,Armistice Day
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-04-01,Easter Monday
2024-05-01,Labour Day
2024-05-09,Ascension Day
2024-05-20,Whit Monday
2024-07-21,Belgian National Day
2024-08-15,Assumption of Mary
2024-11-01,All Saints' Day
2024-11-11,Armistice Day
2024-12-25,Christmas Day
2025-01-01,New Year's Day
2025-04-21,Easter Monday
2025-05-01,Labour Day
2025-05-29,Ascension Day
2025-06-09,Whit Monday
2025-07-21,Belgian National Day
2025-08-15,Assumption of Mary
2025-11-01,All Saints' Day
2025-11-11,Armistice Day
2025-12-25,Christmas Day
2026-01-01,New Year's Day
2026-04-06,Easter Monday
2026-05-01,Labour Day
2026-05-14,Ascension Day
2026-05-25,Whit Monday
2026-07-21,Belgian National Day
2026-08-15,Assumption of Mary
2026-11-01,All Saints' Day
2026-11-11,Armistice Day
2026-12-25,Christmas Day
